YEAR,SEASON,TAVG_C
1956,Autumn,-3.857142857142857
1956,Spring,-2.8467391304347824
1956,Summer,11.622826086956522
1956,Winter,-14.917582417582418
1957,Autumn,0.07692307692307693
1957,Spring,-2.6608695652173915
1957,Summer,12.743478260869566
1957,Winter,-11.133333333333333
1958,Autumn,1.6406593406593408
1958,Spring,-3.582608695652174
1958,Summer,12.127173913043478
1958,Winter,-15.221111111111112
1959,Autumn,-0.7472527472527473
1959,Spring,-0.023913043478260832
1959,Summer,13.322826086956523
1959,Winter,-11.091111111111111
1960,Autumn,-2.5714285714285716
1960,Spring,0.9586956521739131
1960,Summer,14.55108695652174
1960,Winter,-14.572527472527472
1961,Autumn,3.245054945054945
1961,Spring,-1.9434782608695653
1961,Summer,13.924999999999999
1961,Winter,-11.226666666666667
1962,Autumn,1.2483516483516484
1962,Spring,-3.946739130434783
1962,Summer,10.193478260869565
1962,Winter,-14.253333333333332
1963,Autumn,1.1934065934065934
1963,Spring,-1.3847826086956523
1963,Summer,11.697826086956523
1963,Winter,-14.857777777777779
1964,Autumn,0.4483516483516483
1964,Spring,-2.259782608695652
1964,Summer,11.684782608695652
1964,Winter,-11.631868131868131
1965,Autumn,-0.953846153846154
1965,Spring,-4.217391304347826
1965,Summer,10.820652173913043
1965,Winter,-13.23111111111111
1966,Autumn,-1.0087912087912088
1966,Spring,-5.591304347826087
1966,Summer,12.285869565217391
1966,Winter,-18.554444444444446
1967,Autumn,2.340659340659341
1967,Spring,-0.33260869565217394
1967,Summer,12.542391304347827
1967,Winter,-17.225555555555555
1968,Autumn,-3.816666666666667
1968,Spring,-3.7978260869565217
1968,Summer,10.86195652173913
1968,Winter,-14.437362637362638
1969,Autumn,-0.07802197802197804
1969,Spring,-4.802173913043478
1969,Summer,12.131521739130434
1969,Winter,-14.503333333333332
1970,Autumn,-1.0494505494505495
1970,Spring,-2.778260869565217
1970,Summer,13.679347826086957
1970,Winter,-16.07333333333333
1971,Autumn,-3.456043956043956
1971,Spring,-5.627173913043479
1971,Summer,11.607608695652175
1971,Winter,-12.83
1972,Autumn,-1.268131868131868
1972,Spring,-2.0445652173913045
1972,Summer,14.256521739130434
1972,Winter,-9.182417582417584
1973,Autumn,-4.15054945054945
1973,Spring,-1.0717391304347827
1973,Summer,14.034782608695652
1973,Winter,-12.867777777777777
1974,Autumn,1.045054945054945
1974,Spring,-0.8239130434782609
1974,Summer,13.639130434782608
1974,Winter,-7.404444444444445
1975,Autumn,0.7351648351648351
1975,Spring,0.6510869565217391
1975,Summer,10.796739130434782
1975,Winter,-11.647777777777778
1976,Autumn,-2.9450549450549453
1976,Spring,-1.7630434782608695
1976,Summer,11.65108695652174
1976,Winter,-14.31868131868132
1977,Autumn,-1.1230769230769229
1977,Spring,-2.883695652173913
1977,Summer,11.329347826086956
1977,Winter,-13.446666666666667
1978,Autumn,-1.4186813186813185
1978,Spring,-2.0358695652173915
1978,Summer,11.491304347826087
1978,Winter,-17.415555555555557
1979,Autumn,-0.7692307692307693
1979,Spring,-1.575
1979,Summer,13.271739130434783
1979,Winter,-14.475555555555555
1980,Autumn,-2.779120879120879
1980,Spring,-2.181521739130435
1980,Summer,13.255434782608695
1980,Winter,-16.58681318681319
1981,Autumn,-0.049450549450549434
1981,Spring,-4.192391304347826
1981,Summer,11.096739130434782
1981,Winter,-16.57777777777778
1982,Autumn,0.45494505494505494
1982,Spring,-0.7847826086956522
1982,Summer,10.958695652173914
1982,Winter,-12.846666666666668
1983,Autumn,-2.353846153846154
1983,Spring,-0.07608695652173916
1983,Summer,11.931521739130435
1983,Winter,-12.985555555555557
1984,Autumn,-1.2934065934065935
1984,Spring,-0.6141304347826086
1984,Summer,11.576086956521738
1984,Winter,-9.817582417582416
1985,Autumn,-0.36813186813186816
1985,Spring,-2.7184782608695652
1985,Summer,12.791304347826086
1985,Winter,-23.520000000000003
1986,Autumn,0.5758241758241758
1986,Spring,-0.333695652173913
1986,Summer,12.48804347826087
1986,Winter,-17.75111111111111
1987,Autumn,0.9626373626373625
1987,Spring,-2.635869565217391
1987,Summer,10.706521739130435
1987,Winter,-18.45777777777778
1988,Autumn,-1.335164835164835
1988,Spring,-1.951086956521739
1988,Summer,13.660869565217391
1988,Winter,-14.04835164835165
1989,Autumn,0.3637362637362638
1989,Spring,2.0847826086956522
1989,Summer,12.941304347826087
1989,Winter,-10.31
1990,Autumn,-1.7395604395604396
1990,Spring,-0.21739130434782608
1990,Summer,12.15
1990,Winter,-8.85
1991,Autumn,0.3549450549450549
1991,Spring,-2.384782608695652
1991,Summer,12.415217391304349
1991,Winter,-12.367777777777777
1992,Autumn,-3.453846153846154
1992,Spring,-0.13804347826086955
1992,Summer,11.479347826086956
1992,Winter,-6.5747252747252745
1993,Autumn,-2.3208791208791206
1993,Spring,-1.3239130434782609
1993,Summer,11.273913043478261
1993,Winter,-9.942222222222222
1994,Autumn,-0.8538461538461537
1994,Spring,-0.7315217391304347
1994,Summer,12.742391304347825
1994,Winter,-12.042222222222222
1995,Autumn,-2.121978021978022
1995,Spring,-0.6271739130434782
1995,Summer,12.38695652173913
1995,Winter,-11.571111111111112
1996,Autumn,0.8846153846153846
1996,Spring,-2.333695652173913
1996,Summer,12.795652173913044
1996,Winter,-11.965934065934066
1997,Autumn,-0.6670329670329671
1997,Spring,-2.8978260869565218
1997,Summer,14.13586956521739
1997,Winter,-11.76222222222222
1998,Autumn,-1.1967032967032967
1998,Spring,-3.692391304347826
1998,Summer,12.110869565217392
1998,Winter,-14.76888888888889
1999,Autumn,2.3626373626373627
1999,Spring,-1.3543478260869564
1999,Summer,12.929347826086957
1999,Winter,-15.88111111111111
2000,Autumn,3.0384615384615383
2000,Spring,-0.01521739130434783
2000,Summer,12.898913043478261
2000,Winter,-10.965934065934066
2001,Autumn,0.28461538461538466
2001,Spring,-3.4250000000000003
2001,Summer,13.546739130434782
2001,Winter,-12.03111111111111
2002,Autumn,-2.918681318681319
2002,Spring,0.893478260869565
2002,Summer,14.78913043478261
2002,Winter,-13.532222222222224
2003,Autumn,1.023076923076923
2003,Spring,0.9880434782608696
2003,Summer,14.133695652173913
2003,Winter,-13.585393258426965
2004,Autumn,-0.10109890109890113
2004,Spring,0.15869565217391307
2004,Summer,13.36043956043956
2004,Winter,-10.472527472527473
2005,Autumn,3.04
2005,Spring,-1.375
2005,Summer,14.838043478260868
2005,Winter,-9.332584269662922
