,ref_temp
138,-3.8412698412698414
139,-3.8412698412698414
140,-3.8412698412698414
141,-3.8412698412698414
142,-3.8412698412698414
143,-3.8412698412698414
144,-3.8412698412698414
145,-3.8412698412698414
146,-3.8412698412698414
147,-3.8412698412698414
148,-3.8412698412698414
149,-3.8412698412698414
150,-3.8412698412698414
151,-3.8412698412698414
152,-3.8412698412698414
153,-3.8412698412698414
154,-3.8412698412698414
155,-3.8412698412698414
156,-3.8412698412698414
157,-3.8412698412698414
158,-3.8412698412698414
159,-3.8412698412698414
160,-3.8412698412698414
161,-3.8412698412698414
162,-3.8412698412698414
163,-3.8412698412698414
164,-3.8412698412698414
165,-3.8412698412698414
166,-3.8412698412698414
167,-3.8412698412698414
168,-3.8412698412698414
169,-3.8412698412698414
170,-3.8412698412698414
171,-3.8412698412698414
172,-3.8412698412698414
173,-3.8412698412698414
174,-3.8412698412698414
175,-3.8412698412698414
176,-3.8412698412698414
177,-3.8412698412698414
178,-3.8412698412698414
179,-3.8412698412698414
180,-3.8412698412698414
181,-3.8412698412698414
182,-3.8412698412698414
183,-3.8412698412698414
184,-3.8412698412698414
185,-3.8412698412698414
186,-3.8412698412698414
187,-3.8412698412698414
188,-3.8412698412698414
189,-3.8412698412698414
190,-3.8412698412698414
191,-3.8412698412698414
192,-3.8412698412698414
193,-3.8412698412698414
194,-3.8412698412698414
195,-3.8412698412698414
196,-3.8412698412698414
197,-3.8412698412698414
198,2.427875243664717
199,2.427875243664717
200,2.427875243664717
201,2.427875243664717
202,2.427875243664717
203,2.427875243664717
204,2.427875243664717
205,2.427875243664717
206,2.427875243664717
207,2.427875243664717
208,2.427875243664717
209,2.427875243664717
210,2.427875243664717
211,2.427875243664717
212,2.427875243664717
213,2.427875243664717
214,2.427875243664717
215,2.427875243664717
216,2.427875243664717
217,2.427875243664717
218,2.427875243664717
219,2.427875243664717
220,2.427875243664717
221,2.427875243664717
222,2.427875243664717
223,2.427875243664717
224,2.427875243664717
225,2.427875243664717
226,2.427875243664717
227,2.427875243664717
228,2.427875243664717
229,2.427875243664717
230,2.427875243664717
231,2.427875243664717
232,2.427875243664717
233,2.427875243664717
234,2.427875243664717
235,2.427875243664717
236,2.427875243664717
237,2.427875243664717
238,2.427875243664717
239,2.427875243664717
240,2.427875243664717
241,2.427875243664717
242,2.427875243664717
243,2.427875243664717
244,2.427875243664717
245,2.427875243664717
246,2.427875243664717
247,2.427875243664717
248,2.427875243664717
249,2.427875243664717
250,2.427875243664717
251,2.427875243664717
252,2.427875243664717
253,2.427875243664717
254,2.427875243664717
255,2.427875243664717
256,2.427875243664717
257,2.427875243664717
258,2.427875243664717
259,2.427875243664717
260,2.427875243664717
261,2.427875243664717
262,2.427875243664717
263,2.427875243664717
264,9.522613065326633
265,9.522613065326633
266,9.522613065326633
267,9.522613065326633
268,9.522613065326633
269,9.522613065326633
270,9.522613065326633
271,9.522613065326633
272,9.522613065326633
273,9.522613065326633
274,9.522613065326633
275,9.522613065326633
276,9.522613065326633
277,9.522613065326633
278,9.522613065326633
279,9.522613065326633
280,9.522613065326633
281,9.522613065326633
282,9.522613065326633
283,9.522613065326633
284,9.522613065326633
285,9.522613065326633
286,9.522613065326633
287,9.522613065326633
288,9.522613065326633
289,9.522613065326633
290,9.522613065326633
291,9.522613065326633
292,9.522613065326633
293,9.522613065326633
294,9.522613065326633
295,9.522613065326633
296,9.522613065326633
297,9.522613065326633
298,9.522613065326633
299,9.522613065326633
300,9.522613065326633
301,9.522613065326633
302,9.522613065326633
303,9.522613065326633
304,9.522613065326633
305,9.522613065326633
306,9.522613065326633
307,9.522613065326633
308,9.522613065326633
309,9.522613065326633
310,9.522613065326633
311,9.522613065326633
312,9.522613065326633
313,9.522613065326633
314,9.522613065326633
315,9.522613065326633
316,9.522613065326633
317,9.522613065326633
318,9.522613065326633
319,9.522613065326633
320,9.522613065326633
321,9.522613065326633
322,9.522613065326633
323,9.522613065326633
324,9.522613065326633
325,9.522613065326633
326,9.522613065326633
327,9.522613065326633
328,9.522613065326633
329,9.522613065326633
